"","placement","civ","player","score"
"332",6,"FRANCE","Unknown Player",9
"333",1,"GREECE","Unknown Player",113
"334",2,"AZTECS","puszekse",78
"335",3,"CHINA","Unknown Player",68
"336",4,"FRANCE","brunogaia_lac",42
"337",1,"CHINA","undeadoutlaw.",102
"338",2,"PERSIA","jeremiahwitten",72
"339",3,"ROME","Bot",3
"340",1,"ARABIA","wieland",105
"341",2,"RUSSIA","Bot",57
"342",3,"FRANCE","Unknown Player",48
"343",4,"EGYPT","clearlyambiguous",24
"344",1,"FRANCE","clearlyambiguous",109
"345",2,"ROME","wieland",101
"346",3,"CHINA","Bot",62
"347",4,"ENGLAND","Bot",60
"348",5,"PERSIA","Bot",9
"349",1,"PERSIA","glorious_axolotl_84151",103
"350",2,"GREECE","inkvisiitorriistan",44
"351",3,"EGYPT","Bot",16
"352",1,"AZTECS","mistersunshyne",120
"353",2,"FRANCE","ianmacp",53
"354",3,"EGYPT","Bot",46
"355",4,"CHINA","Bot",3
"356",1,"GREECE","mistersunshyne",113
"357",2,"ROME","ianmacp",70
"358",3,"AZTECS","Bot",42
"359",4,"EGYPT","Bot",6
"360",1,"CHINA","glorious_axolotl_84151",112
"361",2,"FRANCE","lewis_laswell",61
"362",3,"PERSIA","Bot",56
"363",4,"AZTECS","Bot",13
"364",1,"RUSSIA","herisscik",140
"365",2,"FRANCE","lewis_laswell",72
"366",3,"AZTECS","Bot",27
"367",4,"GREECE","Bot",4
"368",1,"CHINA","glorious_axolotl_84151",137
"369",2,"EGYPT","Bot",56
"370",3,"ENGLAND","sprigleaf",48
"371",4,"FRANCE","Unknown Player",15
"372",1,"ROME","agnorak",106
"373",2,"RUSSIA","lithiumknave",67
"374",3,"FRANCE","Bot",61
"375",4,"ENGLAND","Bot",37
"376",1,"RUSSIA","amfanfadisnfadgmi",115
"377",2,"ENGLAND","redips1429",112
"378",3,"GREECE","Bot",71
"379",4,"CHINA","Bot",51
"380",5,"FRANCE","Bot",5
"381",1,"EGYPT","spiderfood",108
"382",2,"AZTECS","dconnenc",73
"383",3,"ENGLAND","Bot",19
"384",4,"RUSSIA","Bot",2
"385",1,"GREECE","iseris_",108
"386",2,"ENGLAND","Bot",93
"387",3,"ROME","Bot",46
"388",4,"RUSSIA","arbormatt_73718",38
"389",1,"RUSSIA","Unknown Player",127
"390",2,"PERSIA","Unknown Player",39
"391",3,"GREECE","Unknown Player",15
"392",4,"CHINA","glorious_axolotl_84151",11
"393",5,"ROME","herisscik",2
"394",1,"GREECE","googlplex",130
"395",2,"ROME","Unknown Player",27
"396",3,"AZTECS","runfatboyrun",1
"397",1,"RUSSIA","arbormatt_73718",135
"398",2,"PERSIA","iseris_",67
